Fahrzeug,Kalenderwoche,Barumsatz (€),Bankomatumsatz (€),Trinkgeld gesamt (€),Trinkgeld (non-bar) (€),Plattform
135CTX,KW19,308.1,150.39,9.09,4.19,40100
135CTX,KW20,516.6,337.8,20.1,7.0,40100
135CTX,KW21,779.8,264.2,27.0,14.8,40100
432ATX,KW09,14.5,53.0,3.2,3.2,40100
432ATX,KW10,598.6,330.3,20.1,20.1,40100
432ATX,KW11,557.4,262.2,15.6,15.6,40100
432ATX,KW12,128.7,181.1,12.6,12.6,40100
432ATX,KW13,757.6,302.2,15.8,15.8,40100
432ATX,KW14,431.8,408.7,12.3,12.3,40100
432ATX,KW15,632.7,477.2,18.0,16.2,40100
432ATX,KW16,346.9,238.6,11.1,11.1,40100
432ATX,KW17,594.6,317.79,12.29,12.29,40100
432ATX,KW18,472.6,401.5,12.2,12.2,40100
432ATX,KW19,671.9,275.8,20.7,7.7,40100
432ATX,KW20,414.7,431.6,18.8,18.8,40100
432ATX,KW21,535.4,365.95,20.75,20.75,40100
4517,KW09,196.5,59.17,7.27,2.97,40100
4517,KW10,581.4,312.8,22.7,5.5,40100
4517,KW11,505.5,145.3,14.4,6.5,40100
4517,KW12,494.4,332.94,18.44,7.34,40100
4517,KW13,585.0,85.6,11.2,0.0,40100
4517,KW14,483.0,169.0,12.3,0.0,40100
4517,KW15,550.1,398.9,20.4,7.2,40100
4517,KW16,471.1,118.6,15.3,4.0,40100
4517,KW17,578.0,284.99,18.79,6.29,40100
4517,KW18,216.3,246.4,14.1,7.8,40100
4517,KW19,262.5,73.8,0.9,0.9,40100
4517,KW20,591.9,519.25,22.35,22.25,40100
4517,KW21,670.3,365.54,22.74,22.74,40100
484,KW09,176.7,169.3,5.8,4.6,40100
484,KW10,412.6,487.0,20.5,14.9,40100
484,KW11,558.4,579.4,25.1,23.7,40100
484,KW12,873.6,453.2,35.2,21.6,40100
484,KW13,780.0,507.9,24.6,14.8,40100
484,KW14,686.4,688.7,33.2,14.1,40100
484,KW15,706.8,529.8,33.1,28.1,40100
484,KW16,621.6,424.8,13.2,6.0,40100
484,KW17,543.8,369.4,8.2,3.0,40100
484,KW18,685.9,304.2,67.5,-10.3,40100
484,KW19,867.2,768.1,49.8,37.2,40100
484,KW20,994.7,478.09,32.39,16.29,40100
484,KW21,1014.0,560.5,22.9,13.1,40100
576BTX,KW09,0.0,0.0,0.0,0.0,40100
576BTX,KW10,21.4,0.0,0.0,0.0,40100
576BTX,KW11,32.2,0.0,0.0,0.0,40100
576BTX,KW12,36.3,0.0,0.0,0.0,40100
576BTX,KW13,97.2,0.0,0.0,0.0,40100
576BTX,KW14,13.5,0.0,0.0,0.0,40100
576BTX,KW15,15.6,0.0,0.0,0.0,40100
576BTX,KW17,25.8,0.0,0.0,0.0,40100
576BTX,KW18,19.0,0.0,0.0,0.0,40100
576BTX,KW20,20.0,0.0,0.0,0.0,40100
577BTX,KW10,30.4,49.9,7.7,4.9,40100
577BTX,KW11,0.0,260.13,7.53,7.53,40100
577BTX,KW12,85.4,323.3,2.7,2.7,40100
577BTX,KW13,836.9,220.88,34.08,13.28,40100
577BTX,KW14,322.0,136.39,11.89,10.79,40100
577BTX,KW15,256.6,288.4,11.9,11.9,40100
577BTX,KW16,753.9,131.0,11.2,6.4,40100
577BTX,KW17,629.8,317.5,8.9,5.8,40100
577BTX,KW18,549.7,256.87,18.47,17.07,40100
577BTX,KW19,91.2,303.9,14.3,12.0,40100
577BTX,KW20,32.5,59.7,5.5,5.5,40100
577BTX,KW21,200.9,97.8,21.9,6.9,40100
585BTX,KW10,151.6,219.8,0.0,0.0,40100
585BTX,KW11,242.5,460.7,0.0,0.0,40100
585BTX,KW12,4639.8,-3927.0,5.0,-37.0,40100
585BTX,KW13,363.6,424.8,2.4,2.4,40100
585BTX,KW14,211.0,493.7,0.0,0.0,40100
585BTX,KW15,270.0,572.4,0.0,0.0,40100
585BTX,KW16,79.0,413.7,0.0,0.0,40100
585BTX,KW17,153.0,575.3,0.0,0.0,40100
585BTX,KW18,200.0,504.3,0.0,0.0,40100
585BTX,KW19,77.0,252.6,0.0,0.0,40100
585BTX,KW20,0.0,477.7,0.0,0.0,40100
585BTX,KW21,4376.7,435.9,0.0,0.0,40100
588BTX,KW09,0.0,0.0,0.0,0.0,40100
588BTX,KW10,20.0,0.0,0.0,0.0,40100
588BTX,KW11,14.0,0.0,0.0,0.0,40100
588BTX,KW12,22.0,0.0,0.0,0.0,40100
588BTX,KW13,39.0,0.0,0.0,0.0,40100
588BTX,KW14,0.0,0.0,0.0,0.0,40100
588BTX,KW19,29.0,0.0,0.0,0.0,40100
590BTX,KW09,0.0,0.0,0.0,0.0,40100
590BTX,KW10,634.6,556.68,6.48,6.48,40100
590BTX,KW11,613.5,643.52,9.32,9.32,40100
590BTX,KW12,716.1,412.5,11.9,5.4,40100
590BTX,KW13,896.0,402.88,4.68,-18.02,40100
590BTX,KW14,889.2,626.56,10.06,6.06,40100
590BTX,KW15,1024.7,793.4,2.0,2.0,40100
590BTX,KW16,954.3,413.47,5.47,-0.03,40100
590BTX,KW17,700.1,473.04,13.74,13.74,40100
590BTX,KW18,595.2,697.54,26.24,21.74,40100
590BTX,KW19,726.1,692.8,11.1,11.1,40100
590BTX,KW20,534.3,841.02,13.92,-11.48,40100
590BTX,KW21,244.7,815.2,0.0,0.0,40100
594BTX,KW09,0.0,0.0,0.0,0.0,40100
594BTX,KW15,239.0,0.0,141.0,0.0,40100
594BTX,KW16,35.0,0.0,20.0,0.0,40100
594BTX,KW17,37.0,0.0,0.0,0.0,40100
594BTX,KW18,29.0,0.0,0.0,0.0,40100
594BTX,KW19,84.0,0.0,5.0,0.0,40100
594BTX,KW20,30.0,0.0,0.0,0.0,40100
594BTX,KW21,16.0,0.0,0.0,0.0,40100
595BTX,KW09,0.0,0.0,0.0,0.0,40100
595BTX,KW21,11.0,0.0,0.0,0.0,40100
6667,KW09,162.2,42.0,0.0,0.0,40100
6667,KW10,697.5,267.4,0.0,0.0,40100
6667,KW11,836.4,100.0,0.0,0.0,40100
6667,KW12,918.6,261.7,0.0,0.0,40100
6667,KW13,634.3,432.6,0.0,0.0,40100
6667,KW14,724.7,386.5,0.0,0.0,40100
6667,KW15,626.7,252.6,0.0,0.0,40100
6667,KW16,836.6,165.3,0.0,0.0,40100
6667,KW17,703.5,394.0,0.0,0.0,40100
6667,KW18,666.7,300.0,0.0,0.0,40100
6667,KW19,832.4,402.87,3.37,3.37,40100
6667,KW20,935.3,207.3,0.0,0.0,40100
6667,KW21,2093.7,438.99,4.19,4.19,40100
700,KW09,168.4,177.0,25.0,22.0,40100
700,KW10,399.4,656.3,41.0,30.0,40100
700,KW11,371.0,684.8,20.0,17.0,40100
700,KW12,551.8,792.5,27.0,16.0,40100
700,KW13,545.4,617.2,12.0,5.0,40100
700,KW14,739.6,668.2,25.0,19.0,40100
700,KW15,588.4,577.2,33.6,28.6,40100
700,KW16,528.0,547.0,17.0,14.0,40100
700,KW17,523.6,451.0,29.0,26.0,40100
700,KW18,247.2,319.67,5.57,5.57,40100
700,KW19,420.1,510.24,8.94,7.34,40100
700,KW20,463.6,228.3,0.2,0.0,40100
700,KW21,392.1,153.2,0.0,0.0,40100
7846,KW09,148.1,75.2,3.0,3.0,40100
7846,KW10,476.0,411.86,17.26,16.46,40100
7846,KW11,527.4,385.28,18.58,8.98,40100
7846,KW12,535.4,274.99,24.69,15.89,40100
7846,KW13,592.2,340.3,36.0,33.0,40100
7846,KW14,516.0,438.21,22.51,13.61,40100
7846,KW15,624.1,381.51,35.51,21.51,40100
7846,KW16,651.6,430.04,19.24,12.24,40100
7846,KW17,505.9,205.5,12.2,10.3,40100
7846,KW18,461.5,145.92,19.42,9.82,40100
7846,KW19,527.7,472.97,15.67,14.07,40100
7846,KW20,430.3,76.58,6.98,3.18,40100
7846,KW21,401.3,325.1,17.6,10.6,40100
8464,KW09,95.3,87.0,3.0,3.0,40100
8464,KW10,487.4,571.1,20.5,12.5,40100
8464,KW11,274.6,161.6,5.6,3.2,40100
8464,KW12,699.1,211.6,4.0,3.0,40100
8464,KW13,673.4,453.9,13.8,2.6,40100
8464,KW14,505.1,409.3,8.8,7.6,40100
8464,KW15,481.0,386.2,4.3,0.0,40100
8464,KW16,498.1,159.0,5.6,1.4,40100
8464,KW17,484.6,228.8,24.0,13.0,40100
8464,KW18,512.1,404.65,9.65,6.65,40100
8464,KW19,539.4,333.3,39.0,39.0,40100
8464,KW20,285.8,321.4,9.6,9.6,40100
8464,KW21,461.6,203.5,1.8,0.0,40100
9046,KW09,66.4,118.5,1.6,1.6,40100
9046,KW10,745.7,310.8,4.8,4.8,40100
9046,KW11,708.7,370.1,18.7,14.9,40100
9046,KW12,652.7,268.4,23.2,10.6,40100
9046,KW13,610.4,343.5,15.2,13.6,40100
9046,KW14,894.6,390.2,16.2,16.2,40100
9046,KW15,659.8,466.2,11.2,10.2,40100
9046,KW16,649.6,399.0,9.4,9.4,40100
9046,KW17,696.4,533.9,15.0,15.0,40100
9046,KW18,827.4,428.1,24.9,19.3,40100
9046,KW19,695.4,406.7,3.8,3.8,40100
9046,KW20,1224.2,227.4,12.8,12.8,40100
9046,KW21,835.6,476.5,19.0,19.0,40100
9828,KW09,55.0,35.2,0.0,0.0,40100
9828,KW10,233.7,229.7,0.0,0.0,40100
9828,KW11,297.9,235.0,0.0,0.0,40100
9828,KW12,316.4,65.6,0.0,0.0,40100
9828,KW13,454.8,85.8,0.0,0.0,40100
9828,KW14,331.0,238.8,0.0,0.0,40100
9828,KW15,294.8,198.5,0.0,0.0,40100
9828,KW16,384.0,135.2,0.0,0.0,40100
9828,KW17,337.8,169.2,0.0,0.0,40100
9828,KW18,289.2,193.9,0.0,0.0,40100
9828,KW19,650.8,123.0,0.0,0.0,40100
9828,KW20,247.6,233.0,0.0,0.0,40100
9828,KW21,382.8,165.6,0.0,0.0,40100
9892,KW09,58.9,52.9,0.0,0.0,40100
9892,KW10,62.7,104.0,0.7,0.4,40100
9892,KW11,419.3,111.7,21.0,1.0,40100
9892,KW12,534.0,285.8,13.4,10.9,40100
9892,KW14,0.0,0.0,0.0,0.0,40100
9892,KW15,121.9,100.3,2.6,2.6,40100
9892,KW16,360.5,165.0,9.6,2.6,40100
9892,KW17,335.3,78.4,4.4,4.0,40100
9892,KW18,97.1,67.0,4.4,3.0,40100
9892,KW19,358.0,66.8,8.0,3.0,40100
9892,KW20,267.3,339.0,3.0,3.0,40100
9892,KW21,502.3,134.7,8.0,8.0,40100
